wavenumber_cm-1,raw_avg,denoised,normalized,snv
3.356811523437500000e+02,1.613844090214481923e+02,1.631813730622498611e+02,1.217025667520685046e-03,-5.862024526825576620e-01
3.374658508300781250e+02,1.602858722828052578e+02,1.634360629290423219e+02,1.277641668370346631e-03,-5.836715617277133950e-01
3.392481384277343750e+02,1.607066503454137774e+02,1.636243137583830389e+02,1.322445227204373155e-03,-5.818008853352026888e-01
3.410300903320312500e+02,1.628188566984953809e+02,1.637313062322807298e+02,1.347909357247578307e-03,-5.807376852643310050e-01
3.428137512207031250e+02,1.631259285255714815e+02,1.637601459047776302e+02,1.354773178076384890e-03,-5.804511011642946583e-01
3.445950012207031250e+02,1.625310250741464131e+02,1.637239446117282853e+02,1.346157296974110620e-03,-5.808108387788536442e-01
3.463779907226562500e+02,1.620420594391999316e+02,1.636534307436615734e+02,1.329375048271111545e-03,-5.815115455369538333e-01
3.481585388183593750e+02,1.635749460856119697e+02,1.635843875452214888e+02,1.312942817856865016e-03,-5.821976380330008416e-01
3.499387817382812500e+02,1.643446384006076357e+02,1.635425739732316117e+02,1.302991218497275483e-03,-5.826131456952085008e-01
3.517186584472656250e+02,1.646173847339771328e+02,1.635705918378054378e+02,1.309659449645225477e-03,-5.823347280223070133e-01
3.535002441406250000e+02,1.642317719636139941e+02,1.637296107023034892e+02,1.347505822360873119e-03,-5.807545339970155984e-01
3.552794494628906250e+02,1.639810282389322822e+02,1.640560181710393408e+02,1.425190559690257689e-03,-5.775109746021287460e-01
3.570582885742187500e+02,1.641748939796730440e+02,1.645495290213605983e+02,1.542645778852027834e-03,-5.726068841374172269e-01
3.588388671875000000e+02,1.651246739140263173e+02,1.651835770537943802e+02,1.693548743923860246e-03,-5.663062548645179106e-01
3.606170349121093750e+02,1.660173775001808565e+02,1.658824437227335125e+02,1.859878496778670639e-03,-5.593615131936549023e-01
3.623948364257812500e+02,1.661273509837963047e+02,1.665711765727938598e+02,2.023796408198629861e-03,-5.525174727829611498e-01
3.641723022460937500e+02,1.660802668818721202e+02,1.672182035100802864e+02,2.177788343073162273e-03,-5.460878702088896031e-01
